time,level,message
"2025-10-17 10:57:22,081",INFO,"Epoch 28 | Val Loss: 0.0871 | Val IoU: 0.7528 (67/89)
"
"2025-10-17 10:57:22,081",INFO,"IoU未提升（当前:0.7528 最佳:0.8202），模型不保存
"
"2025-10-17 10:57:22,081",INFO,"Epoch 28 finished in 11.9s
"
"2025-10-17 10:57:32,714",INFO,"Epoch 29 | Train Loss: 0.0743
"
"2025-10-17 10:57:34,136",INFO,"Epoch 29 | Val Loss: 0.0731 | Val IoU: 0.7978 (71/89)
"
"2025-10-17 10:57:34,136",INFO,"IoU未提升（当前:0.7978 最佳:0.8202），模型不保存
"
"2025-10-17 10:57:34,136",INFO,"Epoch 29 finished in 12.1s
"
"2025-10-17 10:57:44,744",INFO,"Epoch 30 | Train Loss: 0.0770
"
"2025-10-17 10:57:46,196",INFO,"Epoch 30 | Val Loss: 0.0772 | Val IoU: 0.7753 (69/89)
"
"2025-10-17 10:57:46,197",INFO,"IoU未提升（当前:0.7753 最佳:0.8202），模型不保存
"
"2025-10-17 10:57:46,197",INFO,"Epoch 30 finished in 12.1s
"
"2025-10-17 10:57:56,715",INFO,"Epoch 31 | Train Loss: 0.0770
"
"2025-10-17 10:57:58,168",INFO,"Epoch 31 | Val Loss: 0.0812 | Val IoU: 0.7865 (70/89)
"
"2025-10-17 10:57:58,169",INFO,"IoU未提升（当前:0.7865 最佳:0.8202），模型不保存
"
"2025-10-17 10:57:58,169",INFO,"Epoch 31 finished in 12.0s
"
"2025-10-17 10:58:08,778",INFO,"Epoch 32 | Train Loss: 0.0780
"
"2025-10-17 10:58:10,252",INFO,"Epoch 32 | Val Loss: 0.0792 | Val IoU: 0.8090 (72/89)
"
"2025-10-17 10:58:10,252",INFO,"IoU未提升（当前:0.8090 最佳:0.8202），模型不保存
"
"2025-10-17 10:58:10,252",INFO,"Epoch 32 finished in 12.1s
"
"2025-10-17 10:58:20,792",INFO,"Epoch 33 | Train Loss: 0.0755
"
"2025-10-17 10:58:22,263",INFO,"Epoch 33 | Val Loss: 0.0703 | Val IoU: 0.8202 (73/89)
"
"2025-10-17 10:58:22,263",INFO,"IoU未提升（当前:0.8202 最佳:0.8202），模型不保存
"
"2025-10-17 10:58:22,263",INFO,"Epoch 33 finished in 12.0s
"
"2025-10-17 10:58:32,878",INFO,"Epoch 34 | Train Loss: 0.0758
"
"2025-10-17 10:58:34,273",INFO,"Epoch 34 | Val Loss: 0.0752 | Val IoU: 0.8315 (74/89)
"
"2025-10-17 10:58:34,280",INFO,"New best IoU: 0.8315 -> saved to ./checkpoints/20251017/best_iou_0.8315.pth
"
"2025-10-17 10:58:34,280",INFO,"Epoch 34 finished in 12.0s
"
"2025-10-17 10:58:44,842",INFO,"Epoch 35 | Train Loss: 0.0725
"
"2025-10-17 10:58:46,303",INFO,"Epoch 35 | Val Loss: 0.0838 | Val IoU: 0.7865 (70/89)
"
"2025-10-17 10:58:46,303",INFO,"IoU未提升（当前:0.7865 最佳:0.8315），模型不保存
"
"2025-10-17 10:58:46,303",INFO,"Epoch 35 finished in 12.0s
"
"2025-10-17 10:58:56,764",INFO,"Epoch 36 | Train Loss: 0.0738
"
"2025-10-17 10:58:58,255",INFO,"Epoch 36 | Val Loss: 0.0830 | Val IoU: 0.6180 (55/89)
"
"2025-10-17 10:58:58,255",INFO,"IoU未提升（当前:0.6180 最佳:0.8315），模型不保存
"
"2025-10-17 10:58:58,255",INFO,"Epoch 36 finished in 12.0s
"
"2025-10-17 10:59:08,858",INFO,"Epoch 37 | Train Loss: 0.0718
"
"2025-10-17 10:59:10,301",INFO,"Epoch 37 | Val Loss: 0.0827 | Val IoU: 0.7416 (66/89)
"
"2025-10-17 10:59:10,301",INFO,"IoU未提升（当前:0.7416 最佳:0.8315），模型不保存
"
"2025-10-17 10:59:10,301",INFO,"Epoch 37 finished in 12.0s
"
"2025-10-17 10:59:20,893",INFO,"Epoch 38 | Train Loss: 0.0741
"
"2025-10-17 10:59:22,327",INFO,"Epoch 38 | Val Loss: 0.0765 | Val IoU: 0.7978 (71/89)
"
"2025-10-17 10:59:22,327",INFO,"IoU未提升（当前:0.7978 最佳:0.8315），模型不保存
"
"2025-10-17 10:59:22,328",INFO,"Epoch 38 finished in 12.0s
"
"2025-10-17 10:59:32,699",INFO,"Epoch 39 | Train Loss: 0.0739
"
"2025-10-17 10:59:34,150",INFO,"Epoch 39 | Val Loss: 0.0747 | Val IoU: 0.8427 (75/89)
"
"2025-10-17 10:59:34,157",INFO,"New best IoU: 0.8427 -> saved to ./checkpoints/20251017/best_iou_0.8427.pth
"
"2025-10-17 10:59:34,157",INFO,"Epoch 39 finished in 11.8s
"
"2025-10-17 10:59:44,670",INFO,"Epoch 40 | Train Loss: 0.0698
"
"2025-10-17 10:59:46,175",INFO,"Epoch 40 | Val Loss: 0.0686 | Val IoU: 0.8315 (74/89)
"
"2025-10-17 10:59:46,175",INFO,"IoU未提升（当前:0.8315 最佳:0.8427），模型不保存
"
"2025-10-17 10:59:46,175",INFO,"Epoch 40 finished in 12.0s
"
"2025-10-17 10:59:56,762",INFO,"Epoch 41 | Train Loss: 0.0746
"
"2025-10-17 10:59:58,312",INFO,"Epoch 41 | Val Loss: 0.0682 | Val IoU: 0.8876 (79/89)
"
"2025-10-17 10:59:58,319",INFO,"New best IoU: 0.8876 -> saved to ./checkpoints/20251017/best_iou_0.8876.pth
"
"2025-10-17 10:59:58,319",INFO,"Epoch 41 finished in 12.1s
"
"2025-10-17 11:00:08,850",INFO,"Epoch 42 | Train Loss: 0.0701
"
"2025-10-17 11:00:10,340",INFO,"Epoch 42 | Val Loss: 0.0720 | Val IoU: 0.8539 (76/89)
"
"2025-10-17 11:00:10,341",INFO,"IoU未提升（当前:0.8539 最佳:0.8876），模型不保存
"
"2025-10-17 11:00:10,341",INFO,"Epoch 42 finished in 12.0s
"
"2025-10-17 11:00:20,974",INFO,"Epoch 43 | Train Loss: 0.0743
"
"2025-10-17 11:00:22,563",INFO,"Epoch 43 | Val Loss: 0.0642 | Val IoU: 0.8764 (78/89)
"
"2025-10-17 11:00:22,564",INFO,"IoU未提升（当前:0.8764 最佳:0.8876），模型不保存
"
"2025-10-17 11:00:22,564",INFO,"Epoch 43 finished in 12.2s
"
"2025-10-17 11:00:33,128",INFO,"Epoch 44 | Train Loss: 0.0709
"
"2025-10-17 11:00:34,668",INFO,"Epoch 44 | Val Loss: 0.0753 | Val IoU: 0.8090 (72/89)
"
"2025-10-17 11:00:34,668",INFO,"IoU未提升（当前:0.8090 最佳:0.8876），模型不保存
"
"2025-10-17 11:00:34,668",INFO,"Epoch 44 finished in 12.1s
"
"2025-10-17 11:00:45,194",INFO,"Epoch 45 | Train Loss: 0.0721
"
"2025-10-17 11:00:46,646",INFO,"Epoch 45 | Val Loss: 0.0870 | Val IoU: 0.8539 (76/89)
"
"2025-10-17 11:00:46,646",INFO,"IoU未提升（当前:0.8539 最佳:0.8876），模型不保存
"
"2025-10-17 11:00:46,646",INFO,"Epoch 45 finished in 12.0s
"
"2025-10-17 11:00:57,268",INFO,"Epoch 46 | Train Loss: 0.0743
"
"2025-10-17 11:00:58,728",INFO,"Epoch 46 | Val Loss: 0.0789 | Val IoU: 0.7978 (71/89)
"
"2025-10-17 11:00:58,728",INFO,"IoU未提升（当前:0.7978 最佳:0.8876），模型不保存
"
"2025-10-17 11:00:58,728",INFO,"Epoch 46 finished in 12.1s
"
"2025-10-17 11:01:09,460",INFO,"Epoch 47 | Train Loss: 0.0745
"
"2025-10-17 11:01:10,921",INFO,"Epoch 47 | Val Loss: 0.0665 | Val IoU: 0.8202 (73/89)
"
"2025-10-17 11:01:10,921",INFO,"IoU未提升（当前:0.8202 最佳:0.8876），模型不保存
"
"2025-10-17 11:01:10,921",INFO,"Epoch 47 finished in 12.2s
"
"2025-10-17 11:01:21,472",INFO,"Epoch 48 | Train Loss: 0.0734
"
"2025-10-17 11:01:22,931",INFO,"Epoch 48 | Val Loss: 0.0808 | Val IoU: 0.8315 (74/89)
"
"2025-10-17 11:01:22,931",INFO,"IoU未提升（当前:0.8315 最佳:0.8876），模型不保存
"
"2025-10-17 11:01:22,931",INFO,"Epoch 48 finished in 12.0s
"
"2025-10-17 11:01:33,529",INFO,"Epoch 49 | Train Loss: 0.0753
"
"2025-10-17 11:01:35,015",INFO,"Epoch 49 | Val Loss: 0.0658 | Val IoU: 0.8539 (76/89)
"
"2025-10-17 11:01:35,015",INFO,"IoU未提升（当前:0.8539 最佳:0.8876），模型不保存
"
"2025-10-17 11:01:35,015",INFO,"Epoch 49 finished in 12.1s
"
"2025-10-17 11:01:45,493",INFO,"Epoch 50 | Train Loss: 0.0687
"
"2025-10-17 11:01:46,929",INFO,"Epoch 50 | Val Loss: 0.0726 | Val IoU: 0.8090 (72/89)
"
"2025-10-17 11:01:46,929",INFO,"IoU未提升（当前:0.8090 最佳:0.8876），模型不保存
"
"2025-10-17 11:01:46,929",INFO,"Epoch 50 finished in 11.9s
"
"2025-10-17 11:01:57,499",INFO,"Epoch 51 | Train Loss: 0.0706
"
"2025-10-17 11:01:58,954",INFO,"Epoch 51 | Val Loss: 0.0631 | Val IoU: 0.8539 (76/89)
"
"2025-10-17 11:01:58,954",INFO,"IoU未提升（当前:0.8539 最佳:0.8876），模型不保存
"
"2025-10-17 11:01:58,954",INFO,"Epoch 51 finished in 12.0s
"
"2025-10-17 11:02:09,562",INFO,"Epoch 52 | Train Loss: 0.0712
"
"2025-10-17 11:02:11,074",INFO,"Epoch 52 | Val Loss: 0.0769 | Val IoU: 0.8315 (74/89)
"
"2025-10-17 11:02:11,074",INFO,"IoU未提升（当前:0.8315 最佳:0.8876），模型不保存
"
